,MovieTitle,chg_ON,chg_ON_abs
2011-07-15,海がきこえる,-0.0018939393939394655,0.0018939393939394655
2011-07-22,ハリー・ポッターと謎のプリンス,-0.0036858159633961136,0.0036858159633961136
2011-07-29,インビジブル2,-0.003093182111096908,0.003093182111096908
2011-08-12,硫黄島からの手紙,0.003131115459882516,0.003131115459882516
2011-08-19,名探偵コナン戦慄の楽譜（フルスコア）,0.004837866108786484,0.004837866108786484
2011-08-26,ヱヴァンゲリヲン新劇場版：破TV版,-0.0037637897469174827,0.0037637897469174827
2011-09-02,ルパン三世ルパンVS複製人間,0.0003905233012236545,0.0003905233012236545
2011-09-16,ザ・シューター／極大射程,-0.001042073726716143,0.001042073726716143
2011-09-23,ターミネーター3,,
2011-09-30,アナコンダ2,0.006518904823989569,0.006518904823989569
2011-10-07,アイ・アム・レジェンド,0.00026092628832349667,0.00026092628832349667
2011-10-14,インシテミル７日間のデス・ゲーム,0.003247596778383996,0.003247596778383996
2011-10-21,僕の初恋をキミに捧ぐ,-0.0037804719071827934,0.0037804719071827934
2011-10-28,君に届け,-0.0009229957805908147,0.0009229957805908147
2011-11-04,カイジ人生逆転ゲーム,0.0014093529788596982,0.0014093529788596982
2011-11-11,BECK,-0.0036147689129871798,0.0036147689129871798
2011-11-18,タキシード,0.0016942525739605818,0.0016942525739605818
2011-11-25,名探偵コナン漆黒の追跡者,0.004265770423991705,0.004265770423991705
2011-12-02,ルパン三世血の刻印〜永遠のmermaid〜,0.0042432814710042215,0.0042432814710042215
2011-12-09,天空の城ラピュタ,-0.0007723995880535823,0.0007723995880535823
2011-12-16,借りぐらしのアリエッティ,-0.0008987032995250659,0.0008987032995250659
2011-12-23,ゴーストもういちど抱きしめたい,,
2012-01-06,ベンジャミン・バトン数奇な人生,-0.0038870173620110305,0.0038870173620110305
2012-01-13,ALWAYS三丁目の夕日,0.0032598774286086846,0.0032598774286086846
2012-01-20,ALWAYS続・三丁目の夕日,-0.002978888744981088,0.002978888744981088
2012-01-27,LchangetheWorLd,-0.003893575600259535,0.003893575600259535
2012-02-03,ナイトミュージアム2,0.004987531172069766,0.004987531172069766
2012-02-10,ウルヴァリン：X-MENZERO,0.00025743338911051643,0.00025743338911051643
2012-02-17,アバター,0.008978249873545877,0.008978249873545877
2012-02-24,ヤッターマン,0.011170410822887002,0.011170410822887002
2012-03-09,ファンタスティック・フォー［超能力ユニット］,0.008819206271435558,0.008819206271435558
2012-03-16,第9地区,-0.0009576250897775018,0.0009576250897775018
2012-03-23,ルパン三世VS名探偵コナン,-0.0021741756250755746,0.0021741756250755746
2012-03-30,ルパン三世カリオストロの城,0.00876232201533405,0.00876232201533405
2012-04-06,紅の豚,-0.013710264498907977,0.013710264498907977
2012-04-13,名探偵コナン沈黙の15分（クォーター）,-0.00012356357345860762,0.00012356357345860762
2012-04-20,GANTZ,-0.00012253400318594678,0.00012253400318594678
2012-04-27,GANTZPERFECTANSWER,-0.009908347783007148,0.009908347783007148
2012-05-04,K-20怪人二十面相・伝,,
2012-05-11,風の谷のナウシカ,0.0026312492168900354,0.0026312492168900354
2012-05-18,セックス・アンド・ザ・シティ2,-0.0012611930886619815,0.0012611930886619815
2012-05-25,メン・イン・ブラック,-0.0002511616225040314,0.0002511616225040314
2012-06-01,そんな彼なら捨てちゃえば？,-0.0053503184713376015,0.0053503184713376015
2012-06-08,釣りバカ日誌13ハマちゃん危機一髪！,0.00391167192429025,0.00391167192429025
2012-06-15,香港国際警察／NEWPOLICESTORY,0.0010126582278480796,0.0010126582278480796
2012-06-22,八日目の蝉,0.002737680438028856,0.002737680438028856
2012-06-29,ごくせんTHEMOVIE,0.002889084285893782,0.002889084285893782
2012-07-06,千と千尋の神隠し,-0.0047571357035552765,0.0047571357035552765
2012-07-13,となりのトトロ,-0.005675368898978469,0.005675368898978469
2012-07-20,サマーウォーズ,-0.0016539440203561765,0.0016539440203561765
2012-07-27,家族、貸します〜ファミリー・コンプレックス〜,0.003066308930624877,0.003066308930624877
2012-08-03,太平洋の奇跡—フォックスと呼ばれた男—,0.0046000511116790115,0.0046000511116790115
2012-08-10,チャーリーとチョコレート工場,-0.0025490695895996514,0.0025490695895996514
2012-08-17,名探偵コナン天空の難破船（ロスト・シップ）,0.0018896447467876758,0.0018896447467876758
2012-08-24,崖の上のポニョ,0.0007624857033930903,0.0007624857033930903
2012-09-07,ベスト・キッド,-0.008868617762574468,0.008868617762574468
2012-09-14,ソルト,0.013393432066967057,0.013393432066967057
2012-09-21,ステルス,-0.0010228870988364441,0.0010228870988364441
2012-09-28,スピード,0.004898169631348227,0.004898169631348227
2012-10-05,最高の人生の見つけ方,-0.0012755102040817414,0.0012755102040817414
2012-10-12,20世紀少年サーガ第1夜,-0.00012740476493809284,0.00012740476493809284
2012-10-19,20世紀少年サーガ第2夜,-0.0010080645161290108,0.0010080645161290108
2012-10-26,20世紀少年サーガ第3夜,-0.0040015005627109315,0.0040015005627109315
2012-11-02,ルパン三世東方見聞録～アナザーページ～,0.0022404779686332164,0.0022404779686332164
2012-11-09,ヱヴァンゲリヲン新劇場版：序TV版,-0.00012581781580278204,0.00012581781580278204
